股票代码,股票名称,所属行业,所属概念
1280,中国铀业,"有色金属,其他小金属,小金属",
600118,中国卫星,"航天装备Ⅲ,航天装备Ⅱ,国防军工",
300854,中兰环保,"环保,环境治理,固废治理",
2972,科安达,"机械设备,轨交设备Ⅲ,轨交设备Ⅱ",
2957,科瑞技术,"机械设备,工控设备,自动化设备",
2531,天顺风能,"风电设备,风电零部件,电力设备",
300499,高澜股份,"其他专用设备,机械设备,专用设备",
301200,大族数控,"其他专用设备,机械设备,专用设备",
547,航天发展,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
301217,铜冠铜箔,"锂电池,电池,电力设备",
300816,艾可蓝,"其他汽车零部件,汽车,汽车零部件",
2351,漫步者,"品牌消费电子,电子,消费电子",
688758,赛分科技,"化学制药,原料药,医药生物",
300990,同飞股份,"制冷空调设备,通用设备,机械设备",
2176,江特电机,"电机Ⅲ,电机Ⅱ,电力设备",
2956,西麦食品,"烘焙食品,休闲食品,食品饮料",
688251,井松智能,"IT服务Ⅲ,IT服务Ⅱ,计算机",
300745,欣锐科技,"汽车电子电气系统,汽车,汽车零部件",
2824,和胜股份,"铝,工业金属,有色金属",
2709,天赐材料,"电池,电力设备,电池化学品",
920640,富士达,"通信线缆及配套,通信设备,通信",
688120,华海清科,"半导体设备,半导体,电子",
600557,康缘药业,"中药Ⅲ,中药Ⅱ,医药生物",
2929,润建股份,"通信工程及服务,通信,通信服务",
2428,云南锗业,"有色金属,其他小金属,小金属",
688603,天承科技,"电子,电子化学品Ⅲ,电子化学品Ⅱ",
603389,*ST亚振,"轻工制造,家居用品,成品家居",
300125,*ST聆达,"公用事业,光伏发电,电力",
505,京粮控股,"粮油加工,农林牧渔,农产品加工",
920706,铁拓机械,"机械设备,工程机械,工程机械整机",
688372,伟测科技,"集成电路封测,半导体,电子",
301322,绿通科技,"摩托车及其他,其他运输设备,汽车",
603967,中创物流,"跨境物流,交通运输,物流",
2955,鸿合科技,"电子,面板,光学光电子",
301017,漱玉平民,"医药商业,线下药店,医药生物",
2563,森马服饰,"非运动服装,服装家纺,纺织服饰",
600590,泰豪科技,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
688065,凯赛生物,"基础化工,化学制品,其他化学制品",
603057,紫燕食品,"熟食,休闲食品,食品饮料",
603038,华立股份,"建筑材料,装修建材,其他建材Ⅲ",
601699,潞安环能,"煤炭开采,煤炭,焦煤",
688191,智洋创新,"电力设备,电网设备,电网自动化设备",
300875,捷强装备,"国防军工,地面兵装Ⅲ,地面兵装Ⅱ",
688368,晶丰明源,"半导体,模拟芯片设计,电子",
301398,星源卓镁,"车身附件及饰件,汽车,汽车零部件",
2379,宏桥控股,"铝,工业金属,有色金属",
1337,四川黄金,"黄金,贵金属,有色金属",
300022,吉峰科技,"专业连锁Ⅲ,专业连锁Ⅱ,商贸零售",
600186,莲花控股,"调味发酵品Ⅲ,调味发酵品Ⅱ,食品饮料",
688309,恒誉环保,"环保设备Ⅲ,环保设备Ⅱ,环保",
603077,和邦生物,"农化制品,磷肥及磷化工,基础化工",
603685,晨丰科技,"电子,光学光电子,LED",
600121,郑州煤电,"动力煤,煤炭开采,煤炭",
300189,神农种业,"种子,种植业,农林牧渔",
2869,金溢科技,"计算机,计算机设备,其他计算机设备",
300472,*ST新元,"其他专用设备,机械设备,专用设备",
300005,探路者,"运动服装,服装家纺,纺织服饰",
605299,舒华体育,"文娱用品,娱乐用品,轻工制造",
2648,卫星化学,"其他化学原料,基础化工,化学原料",
301511,德福科技,"锂电池,电池,电力设备",
600844,金煤科技,"基础化工,煤化工,化学原料",
300633,开立医疗,"医药生物,医疗设备,医疗器械",
300142,沃森生物,"医药生物,生物制品,疫苗",
600354,敦煌种业,"种子,种植业,农林牧渔",
2155,湖南黄金,"黄金,贵金属,有色金属",
2025,航天电器,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
2907,华森制药,"中药Ⅲ,中药Ⅱ,医药生物",
605167,利柏特,"专业工程,建筑装饰,化学工程",
688350,富淼科技,"基础化工,化学制品,其他化学制品",
601969,海南矿业,"油气开采Ⅲ,油气开采Ⅱ,石油石化",
911,广农糖业,"农林牧渔,农产品加工,其他农产品加工",
2758,浙农股份,"综合Ⅲ,综合,综合Ⅱ",
659,珠海中富,"塑料包装,包装印刷,轻工制造",
2384,东山精密,"元件,印制电路板,电子",
2409,雅克科技,"半导体材料,半导体,电子",
600888,新疆众和,"铝,工业金属,有色金属",
3018,金富科技,"塑料包装,包装印刷,轻工制造",
600420,国药现代,"化学制剂,化学制药,医药生物",
1339,智微智能,"计算机,计算机设备,其他计算机设备",
603239,浙江仙通,"其他汽车零部件,汽车,汽车零部件",
688053,ST思科瑞,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
605055,迎丰股份,"印染,纺织服饰,纺织制造",
688012,中微公司,"半导体设备,半导体,电子",
2437,誉衡药业,"化学制剂,化学制药,医药生物",
688679,通源环境,"环保,环境治理,固废治理",
603929,亚翔集成,"其他专业工程,专业工程,建筑装饰",
603838,*ST四通,"其他家居用品,轻工制造,家居用品",
688387,信科移动-U,"通信设备,通信,通信网络设备及器件",
300383,光环新网,"通信,通信服务,通信应用增值服务",
920403,康农种业,"种子,种植业,农林牧渔",
2773,康弘药业,"其他生物制品,医药生物,生物制品",
2996,顺博合金,"铝,工业金属,有色金属",
688314,康拓医疗,"医药生物,医疗器械,医疗耗材",
2637,赞宇科技,"基础化工,化学制品,其他化学制品",
300962,中金辐照,"专业服务,社会服务,其他专业服务",
600808,马钢股份,"板材,普钢,钢铁",
301399,英特科技,"制冷空调设备,通用设备,机械设备",
301228,实朴检测,"检测服务,专业服务,社会服务",
603345,安井食品,"预加工食品,食品饮料,食品加工",
688667,菱电电控,"汽车电子电气系统,汽车,汽车零部件",
600750,华润江中,"中药Ⅲ,中药Ⅱ,医药生物",
688775,影石创新,"品牌消费电子,电子,消费电子",
600879,航天电子,"航天装备Ⅲ,航天装备Ⅱ,国防军工",
601231,环旭电子,"电子,消费电子,消费电子零部件及组装",
688376,美埃科技,"环保设备Ⅲ,环保设备Ⅱ,环保",
600057,厦门象屿,"原材料供应链服务,交通运输,物流",
603970,中农立华,"农药,农化制品,基础化工",
3027,同兴科技,"大气治理,环保,环境治理",
300980,祥源新材,"其他塑料制品,基础化工,塑料",
300813,泰林生物,"其他专用设备,机械设备,专用设备",
2540,亚太科技,"铝,工业金属,有色金属",
603496,恒为科技,"计算机,计算机设备,其他计算机设备",
300488,恒锋工具,"金属制品,通用设备,机械设备",
601069,西部黄金,"黄金,贵金属,有色金属",
688019,安集科技,"电子,电子化学品Ⅲ,电子化学品Ⅱ",
2935,天奥电子,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
300835,龙磁科技,"有色金属,金属新材料,磁性材料",
830,鲁西化工,"基础化工,煤化工,化学原料",
600201,生物股份,"农林牧渔,动物保健Ⅲ,动物保健Ⅱ",
688081,兴图新科,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
688523,航天环宇,"航天装备Ⅲ,航天装备Ⅱ,国防军工",
603903,中持股份,"环保,环境治理,水务及水治理",
2004,华邦健康,"化学制剂,化学制药,医药生物",
301316,慧博云通,"IT服务Ⅲ,IT服务Ⅱ,计算机",
688235,百济神州-U,"化学制剂,化学制药,医药生物",
300565,科信技术,"通信设备,通信,通信网络设备及器件",
300603,立昂技术,"通信工程及服务,通信,通信服务",
300804,广康生化,"农药,农化制品,基础化工",
301181,标榜股份,"其他汽车零部件,汽车,汽车零部件",
300254,仟源医药,"化学制剂,化学制药,医药生物",
2385,大北农,"农林牧渔,畜禽饲料,饲料",
600538,国发股份,"医药生物,医疗器械,体外诊断",
601999,出版传媒,"大众出版,出版,传媒",
301571,国科天成,"军工电子Ⅲ,军工电子Ⅱ,国防军工",
2293,罗莱生活,"服装家纺,家纺,纺织服饰",
782,恒申新材,"锦纶,基础化工,化学纤维",
603989,艾华集团,"被动元件,元件,电子",
2272,川润股份,"通用设备,其他通用设备,机械设备",
603489,八方股份,"电机Ⅲ,电机Ⅱ,电力设备",
301338,凯格精机,"其他专用设备,机械设备,专用设备",
600970,中材国际,"国际工程,专业工程,建筑装饰",
3031,中瓷电子,"通信设备,通信,通信终端及配件",
603533,掌阅科技,"文字媒体,数字媒体,传媒",
600802,福建水泥,"水泥制造,水泥,建筑材料",
2642,荣联科技,"IT服务Ⅲ,IT服务Ⅱ,计算机",
603075,热威股份,"家电零部件Ⅲ,家电零部件Ⅱ,家用电器",
688146,中船特气,"半导体材料,半导体,电子",
2199,*ST东晶,"被动元件,元件,电子",
300870,欧陆通,"其他电源设备Ⅲ,其他电源设备Ⅱ,电力设备",
603787,新日股份,"摩托车,摩托车及其他,汽车",
300502,新易盛,"通信设备,通信,通信网络设备及器件",
672,上峰水泥,"水泥制造,水泥,建筑材料",
300298,三诺生物,"医药生物,医疗设备,医疗器械",
920656,海昇药业,"化学制药,原料药,医药生物",
423,东阿阿胶,"中药Ⅲ,中药Ⅱ,医药生物",
301568,思泰克,"机械设备,其他自动化设备,自动化设备",
301408,华人健康,"医药商业,线下药店,医药生物",
